0,1
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi
QPH,Công ty Cổ phần Thủy điện Quế Phong
QSP,Công ty cổ phần Tân Cảng Quy Nhơn
QST,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh
QTC,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam
RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông
RAT,CTCP Vận tải và Thương mại Đường sắt
RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao Su
RCC,Công ty Cổ phần Tổng công ty Công trình đường sắt
RCD,Công ty cổ phần Xây dựng - Địa ốc Cao su
RCL,Công ty Cổ phần Địa ốc Chợ Lớn
RDP,Công ty Cổ phần Nhựa Rạng Đông
REM,Công ty cổ phần Tu bổ di tích Trung ương - Vinaremon
RHC,Công ty Cổ phần Thủy điện Ry Ninh II
RIC,Công ty Cổ phần Quốc tế Hoàng Gia
RLC,Công ty Cổ phần Đường bộ Lào Cai
ROS,CTCP Xây dựng FLC Faros
RTB,Công ty cổ phần Cao su Tân Biên
RTH,Công ty Cổ phần Đường sắt Thanh Hóa
RTS,CTCP Thông tin tín hiệu Đường sắt Đà Nẵng
S12,Công ty Cổ phần Sông Đà 12
S27,Công ty cổ phần Sông Đà 27
S33,Công ty cổ phần Mía đường 333
S4A,Công ty Cổ phần Thủy điện Sê San 4A
S55,Công ty Cổ phần Sông Đà 505
S64,Công ty Cổ phần Sông Đà 6.04
S74,Công ty Cổ phần Sông Đà 7.04
S91,Công ty Cổ phần Sông Đà 9.01
S96,Công ty Cổ phần Sông Đà 9.06
S99,Công ty Cổ phần SCI
SAB,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn
SAC,Công ty Cổ phần Xếp dỡ và Dịch vụ Cảng Sài Gòn
SAF,Công ty Cổ phần Lương thực Thực phẩm Safoco
SAM,Công ty Cổ phần Đầu tư và Phát triển Sacom
SAP,Công ty Cổ phần In Sách giáo khoa tại Tp.Hồ Chí Minh
SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất
SAV,Công ty Cổ phần Hợp tác kinh tế và Xuất nhập khẩu SAVIMEX
SB1,Công ty cổ phần Bia Sài Gòn - Nghệ Tĩnh
SBA,Công ty Cổ phần Sông Ba
SBC,Công ty Cổ phần Vận tải và Giao nhận bia Sài Gòn
SBD,Công ty Cổ phần Công nghệ Sao Bắc Đẩu
SBL,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu
SBS,Công ty Cổ phần Chứng khoán Ngân hàng Sài Gòn Thương Tín
SBT,Công ty cổ phần Mía đường Thành Thành Công Tây Ninh
SBV,Công ty cổ phần Siam Brothers Việt Nam
SC5,Công ty Cổ phần Xây dựng số 5
SCC,Công ty Cổ phần Đầu tư Thương mại Hưng Long tỉnh Hòa Bình
SCD,Công ty Cổ phần Nước giải khát Chương Dương
SCH,CTCP Thủy điện Sông chảy 5
SCI,Công ty Cổ phần Xây dựng và Đầu tư Sông Đà 9
SCJ,Công ty Cổ phần Xi măng Sài Sơn
SCL,Công ty Cổ phần Sông Đà Cao Cường
SCO,Công ty Cổ phần Công nghiệp Thủy sản
SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín
SD1,Công ty Cổ phần Sông Đà 1
SD2,Công ty Cổ phần Sông Đà 2
SD3,Công ty Cổ phần Sông Đà 3
SD4,Công ty Cổ phần Sông Đà 4
SD5,Công ty Cổ phần Sông Đà 5
SD6,Công ty Cổ phần Sông Đà 6
SD7,Công ty Cổ phần Sông Đà 7
SD8,Công ty Cổ phần Sông Đà 8
SD9,Công ty Cổ phần Sông Đà 9
SDA,Công ty Cổ phần Simco Sông Đà
SDB,Công ty Cổ phần Sông Đà 207
SDC,Công ty Cổ phần Tư vấn Sông Đà
SDD,Công ty Cổ phần Đầu tư và Xây lắp Sông Đà
SDE,Công ty cổ phần Kỹ thuật Điện Sông Đà
SDF,Công ty Tài chính cổ phần Sông Đà
SDG,Công ty Cổ phần Sadico Cần Thơ
SDH,Công ty Cổ phần Xây dựng hạ tầng Sông Đà
SDI,Công ty cổ phần Đầu tư và Phát triển Đô thị Sài Đồng
SDJ,Công ty Cổ phần Sông Đà 25
SDK,Công ty Cổ phần Cơ khí Luyện kim
SDN,Công ty Cổ phần Sơn Đồng Nai
SDP,Công ty cổ phần Đầu tư và Thương mại Dầu khí Sông Đà
SDS,Công ty Cổ phần Xây lắp và Đầu tư Sông Đà
SDT,Công ty Cổ phần Sông Đà 10
SDU,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà
SDV,Công ty Cổ phần Dịch vụ Sonadezi
SDX,CTCP Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà
SDY,Công ty Cổ phần Xi măng Sông Đà Yaly
SEA,Tổng công ty Thủy sản Việt Nam – CTCP
SEB,Công ty Cổ phần Đầu tư và Phát triển Điện miền Trung
SEC,Công ty Cổ phần Mía đường Nhiệt điện Gia Lai
SED,Công ty Cổ phần Đầu tư và Phát triển giáo dục Phương Nam
SEL,Công ty Cổ phần Sông Đà 11 Thăng Long
SEP,Công ty Cổ phần Tổng Công ty Thương mại Quảng Trị
SFG,Công ty Cổ phần Phân bón Miền Nam
SFI,Công ty Cổ phần Đại lý Vận tải SAFI
SFN,Công ty Cổ phần Dệt lưới Sài Gòn
SFT,CÔNG TY CỔ PHẦN SOFTECH
SGD,Công ty cổ phần Sách Giáo dục tại T.P Hồ Chí Minh
SGN,Công ty cổ phần Phục vụ Mặt đất Sài Gòn
SGO,Công ty cổ phần Dầu thực vật Sài Gòn
SGP,Công ty Cổ phần Cảng Sài Gòn
SGR,Công ty cổ phần Địa ốc Sài Gòn
SGS,Công ty Cổ phần Vận tải biển Sài Gòn
SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn
SHA,Công ty Cổ phần Sơn Hà Sài Gòn
SHB,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội
SHG,Tổng Công ty Cổ phần Sông Hồng
SHI,Công ty cổ phần Quốc tế Sơn Hà
SHN,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội
SHP,Công ty cổ phần Thủy điện Miền Nam
SHS,Công ty Cổ phần Chứng Khoán Sài Gòn Hà Nội
SHV,Công ty Cổ phần Hải Việt
SHX,CTCP Sài Gòn Hỏa xa
SIC,Công ty cổ phần Đầu tư - Phát triển Sông Đà
SID,Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op
SII,Công ty cổ phần Hạ tầng nước Sài Gòn
SJ1,Công ty Cổ phần Nông Nghiệp Hùng Hậu
SJC,Công ty Cổ phần Sông Đà 1.01
SJD,Công ty Cổ phần Thủy điện Cần Đơn
SJE,Công ty Cổ phần Sông Đà 11
SJF,CTCP Đầu tư Sao Thái Dương
SJM,Công ty Cổ phần Sông Đà 19
SKG,Công ty Cổ phần Tàu cao tốc Superdong – Kiên Giang
SKS,Công ty cổ phần Công trình Giao thông Sông Đà
SLC,CTCP Dịch vụ xuất khẩu lao động và chuyên gia
SLS,Công ty cổ phần Mía đường Sơn La
SMA,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn
SMB,Công ty Cổ phần Bia Sài Gòn - Miền Trung
SME,Công ty Cổ phần Chứng khoán SME
SMN,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Nam
SMT,Công ty cổ phần Vật liệu Điện và Viễn thông Sam Cường
SNC,Công ty Cổ phần Xuất nhập khẩu Thủy sản Năm Căn
SNG,Công ty TNHH MTV Sông Đà 10.1
SP2,CTCP Thủy điện Sử Pán 2
SPA,Công ty Cổ Phần Bao bì Sài Gòn
SPB,CTCP Sợi Phú Bài
SPC,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn
SPD,Công ty Cổ phần Xuất nhập khẩu Thủy sản Miền Trung
SPH,Công ty cổ phần Xuất nhập khẩu Thủy sản Hà Nội
SPI,Công ty cổ phần Đá Spilít
SPM,Công ty Cổ phần S.P.M
SPP,Công ty cổ phần Bao bì Nhựa Sài Gòn
SPV,Công ty cổ phần Thủy Đặc Sản
SQC,Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn
SRA,Công ty Cổ phần Sara Việt Nam
SRB,Công ty Cổ phần Tập đoàn Sara
SRC,Công ty Cổ phần Cao Su Sao Vàng
SRF,Công ty Cổ phần Kỹ Nghệ Lạnh
SRT,Công ty Cổ phần Vận tải Đường sắt Sài Gòn
SSC,Công ty Cổ phần Giống cây trồng Miền Nam
SSF,Công ty Cổ phần Giầy Sài Gòn
SSG,Công ty Cổ phần Vận tải biển Hải Âu
SSM,Công ty Cổ phần Chế tạo Kết cấu Thép VNECO.SSM
SSN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn
SSS,Công ty Cổ phần Sông Đà 6.06
SSU,CTCP Môi trường Đô thị Sóc Sơn
ST8,Công ty Cổ phần Siêu Thanh
STC,Công ty Cổ phần Sách và Thiết bị trường học Tp. Hồ Chí Minh
STG,Công ty Cổ phần Kho vận Miền Nam
STK,Công ty cổ phần Sợi Thế Kỷ
STL,Công ty cổ phần Sông Đà - Thăng Long
STP,Công ty Cổ phần Công nghiệp Thương mại Sông Đà
STS,Công ty Cổ phần Dịch vụ Vận tải Sài Gòn
STT,Công ty cổ phần Vận chuyển Sài Gòn Tourist
STU,Công ty Cổ phần Môi trường và Công trình Đô thị Sơn Tây
STV,Công ty cổ phần Chế tác Đá Việt Nam
SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn
SVG,CTCP Hơi Kỹ nghệ Que hàn
SVI,Công ty Cổ phần Bao bì Biên Hòa
SVN,Công ty cổ phần SOLAVINA
SVS,Công ty Cổ phần Chứng khoán Sao Việt
SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông
SWC,Tổng Công ty Cổ phần Đường Sông Miền Nam
SZC,Công ty cổ phần Sonadezi Châu Đức
SZE,Công ty Cổ phần Môi trường Sonadezi
SZL,Công ty cổ phần Sonadezi Long Thành
TA9,Công ty Cổ phần Xây lắp Thành An 96
TAC,Công ty Cổ phần Dầu Thực vật Tường An
TAG,Công ty Cổ phần Thế giới số Trần Anh
TAP,Công ty cổ phần Đô thị Tân An
TAS,Công ty Cổ phần Chứng khoán Tràng An
TAW,CTCP Cấp nước Trung An
TB8,CTCP Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI
TBD,Tổng Công ty Thiết bị Điện Đông Anh - Công ty Cổ phần
TBT,Công ty Cổ phần Xây dựng Công trình Giao thông Bến Tre
TBX,Công ty Cổ phần Xi măng Thái Bình
TC6,Công ty cổ phần Than Cọc Sáu - Vinacomin
TCH,Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
TCL,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng
TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công
TCO,Công ty Cổ phần Vận tải Đa phương thức Duyên Hải
TCR,Công ty Cổ phần Công nghiệp Gốm sứ Taicera
TCS,Công ty Cổ phần Than Cao Sơn - TKV
TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương
TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức
TDM,CTCP Nước Thủ Dầu Một
TDN,Công ty Cổ phần Than Đèo Nai - Vinacomin
TDS,Công ty cổ phần Thép Thủ Đức - Vnsteel
TDW,Công ty Cổ phần Cấp nước Thủ Đức
TEG,Công ty cổ phần Bất động sản và Xây dựng Trường Thành
TET,Công ty Cổ phần Vải sợi May mặc Miền Bắc
TFC,Công ty Cổ phần Trang
TGP,Công ty Cổ phần Trường Phú
TH1,Công ty Cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam
THB,Công ty cổ phần Bia Thanh Hóa
THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang
THS,Công ty cổ phần Thanh Hoa - Sông Đà
THT,Công ty cổ phần Than Hà Tu - Vinacomin
THV,Công ty Cổ phần Tập đoàn Thái Hòa Việt Nam
THW,Công ty cổ phần Cấp nước Tân Hòa
TIC,Công ty Cổ phần Đầu tư Điện Tây Nguyên
TIE,Công ty Cổ phần TIE
TIG,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long
TIP,Công ty cổ phần Phát triển Khu Công nghiệp Tín Nghĩa
TIS,Công ty cổ phần Gang thép Thái Nguyên
TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình
TJC,Công ty cổ phần Dịch vụ Vận tải và Thương mại
TKC,Công ty Cổ phần Xây dựng và Kinh doanh Địa ốc Tân Kỷ
TL4,Tổng công ty Xây dựng Thủy lợi 4 - CTCP
TLC,Công ty Cổ phần Viễn thông Thăng Long
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên
TLT,Công ty Cổ phần Viglacera Thăng Long
TMB,Công ty Cổ phần Kinh doanh than Miền Bắc - Vinacomin
TMC,Công ty Cổ phần Thương mại - Xuất nhập khẩu Thủ Đức
TMG,Công ty Cổ phần Kim loại màu Thái Nguyên - Vimico
TMP,Công ty cổ phần Thủy điện Thác Mơ
TMS,Công ty Cổ phần Transimex
TMT,Công ty Cổ phần Ô tô TMT
TMW,Công ty Cổ phần Tổng hợp Gỗ Tân Mai
TMX,Công ty cổ phần VICEM Thương mại Xi măng
TNB,Công ty Cổ phần Thép Nhà Bè - VNSTEEL
TNC,Công ty Cổ phần Cao su Thống Nhất
TND,CTCP Than Tây Nam Đá Mài - Vinacomin
TNG,Công ty Cổ phần Đầu tư và Thương mại TNG
TNM,Công ty Cổ phần Xuất nhập khẩu và Xây dựng Công trình
TNP,Công ty cổ phần Cảng Thị Nại
TNS,Công ty Cổ phần Thép Tấm lá Thống Nhất
TNT,Công ty Cổ phần Tài nguyên
TNY,Công ty Cổ phần Đầu tư Xây dựng Thanh niên
TOP,CTCP Phân phối Top One
TPC,Công ty Cổ phần Nhựa Tân Đại Hưng
TPH,Công ty Cổ phần In Sách giáo khoa tại T.P Hà Nội
TPP,Công ty Cổ phần Nhựa Tân Phú
TPS,CTCP Bến bãi Vận tải Sài Gòn
TQN,Công ty Cổ phần Thông Quảng Ninh
TRA,Công ty Cổ phần TRAPHACO
TRC,Công ty Cổ phần Cao su Tây Ninh
TRS,CTCP Vận tải và Dịch vụ Hàng hải
TSB,Công ty Cổ phần Ắc quy Tia sáng
TSC,Công ty Cổ phần Vật tư kỹ thuật Nông nghiệp Cần Thơ
TSM,Công ty Cổ phần Xi măng Tiên Sơn Hà Tây
TST,Công ty Cổ phần Dịch vụ Kỹ thuật Viễn thông
TTB,Công ty cổ phần Tập đoàn Tiến Bộ
TTD,Công ty Cổ phần Bệnh viện Tim Tâm Đức
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành
TTG,Công ty Cổ phần May Thanh Trì
TTH,Công ty cổ phần Thương Mại và Dịch Vụ Tiến Thành
TTP,Công ty Cổ phần Bao bì Nhựa Tân Tiến
TTR,Công ty Cổ phần Du lịch Thương mại và Đầu tư
TTV,CTCP Thông tin Tín hiệu Đường sắt Vinh
TTZ,Công ty cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung
TUG,Công ty Cổ phần Lai dắt và Vận tải Cảng Hải Phòng
TV1,Công ty cổ phần Tư vấn Xây dựng Điện 1
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2
TV3,Công ty Cổ phần Tư vấn Xây dựng Điện 3
TV4,Công ty Cổ phần Tư vấn Xây dựng Điện 4
TVB,Công ty cổ phần Chứng khoán Trí Việt
TVC,Công ty cổ phần Quản lý Đầu tư Trí Việt
TVD,Công ty cổ phần Than Vàng Danh - Vinacomin
TVG,Công ty cổ phần Tư vấn Đầu tư và Xây dựng Giao thông Vận tải
TVM,CTCP Tư vấn Đầu tư Mỏ và Công nghiệp - Vinacomin
TVN,Tổng Công ty Thép Việt Nam - CTCP
TVS,Công ty Cổ phần Chứng khoán Thiên Việt
TVU,Công ty cổ phần Công trình Đô thị Trà Vinh
TW3,CTCP Dược Trung ương 3
TXM,Công ty cổ phần VICEM Thạch cao Xi măng
UCT,Công ty Cổ phần Đô thị Cần Thơ
UDC,Công ty cổ phần Xây dựng và Phát triển Đô thị tỉnh Bà Rịa-Vũng Tàu
UDJ,Công ty Cổ phần Phát triển Đô thị
UEM,CTCP Cơ điện Uông Bí- Vinacomin
UIC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị Idico
UPC,CTCP Phát triển Công viên cây xanh và Đô thị Vũng Tàu
UPH,CTCP Dược phẩm TW25
USC,Công ty Cổ phần Khảo sát và Xây dựng - USCO
V11,Công ty Cổ phần Xây dựng số 11
V12,Công ty Cổ phần Xây dựng số 12
V15,Công ty Cổ phần Xây dựng Số 15
V21,Công ty Cổ phần VINACONEX 21
VAF,Công ty cổ phần Phân lân nung chảy Văn Điển
VAT,Công ty Cổ phần VT Vạn Xuân
VBC,Công ty Cổ phần Nhựa Bao bì Vinh
VBH,Công ty Cổ phần Điện tử Bình Hòa
VC2,Công ty Cổ phần Xây dựng số 2
VC3,Công ty Cổ phần Xây dựng số 3
VC5,Công ty Cổ phần Xây dựng số 5
VC6,Công ty Cổ phần Vinaconex 6
VC7,Công ty Cổ phần Xây dựng số 7
VC9,Công ty Cổ phần Xây dựng số 9
VCA,Công ty Cổ phần Thép VICASA - VNSTEEL
VCB,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam
VCC,Công ty Cổ phần Vinaconex 25
VCE,CTCP Xây lắp Môi trường - TKV
VCF,Công ty Cổ phần VinaCafé Biên Hòa
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
VCGPVF,Forum One - VCG Partners Vietnam Fund
VCH,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Vinaconex
VCM,Công ty Cổ phần Nhân lực và Thương mại Vinaconex
VCP,Công ty cổ phần Đầu tư xây dựng và phát triển năng lượng Vinaconex
VCR,Công ty Cổ phần Đầu tư và Phát triển Du lịch Vinaconex
VCS,Công ty cổ phần Đá thạch anh cao cấp VCS
VCT,Công ty Cổ phần Tư vấn Xây dựng Vinaconex
VCV,Công ty Cổ phần Vận tải Vinaconex
VCW,Công ty Cổ phần Nước sạch Vinaconex
VCX,Công ty Cổ phần Xi măng Yên Bình
VDL,Công ty Cổ phần Thực phẩm Lâm Đồng
VDN,Công ty Cổ phần Vinatex Đà Nẵng
VDS,Công ty Cổ phần Chứng khoán Rồng Việt
VDT,Công ty cổ phần Lưới thép Bình Tây
VE1,Công ty Cổ phần Xây dựng điện VNECO 1
VE2,Công ty cổ phần Xây dựng điện VNECO 2
VE3,Công ty cổ phần Xây dựng điện VNECO 3
VE4,Công ty Cổ phần Xây dựng điện VNECO4
VE8,Công ty cổ phần Xây dựng điện VNECO 8
VE9,Công ty Cổ phần Đầu tư và xây dựng VNECO 9
VEE,Công ty Cổ phần Thiết bị điện Cẩm Phả
VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam
VES,Công ty Cổ phần Đầu tư và Xây dựng điện Mê Ca Vneco
VFG,Công ty Cổ phần Khử trùng Việt Nam
VFMVF1,Quỹ Đầu tư Chứng khoán Việt Nam
VFMVF4,Quỹ đầu tư Doanh nghiệp Hàng đầu Việt Nam
VFMVFA,Quỹ Đầu tư Năng động Việt Nam
VFMVN30,Quỹ ETF VFMVN30
VGC,Tổng Công ty Viglacera - CTCP
VGG,Tổng Công ty cổ phần May Việt Tiến
VGL,CTCP Mạ kẽm công nghiệp Vingal - Vnsteel
VGP,Công ty Cổ phần Cảng Rau quả
VGS,Công ty Cổ phần Ống thép Việt Đức VG PIPE
VGT,Tập đoàn Dệt may Việt Nam
VHC,Công ty Cổ phần Vĩnh Hoàn
VHF,Công ty Cổ phần Xây dựng và Chế biến lương thực Vĩnh Hà
VHG,Công ty Cổ phần Đầu tư Cao Su Quảng Nam
VHH,Công ty cổ phần Đầu tư Kinh doanh nhà Thành Đạt
VHL,Công ty Cổ phần Viglacera Hạ Long
VIA,Công ty Cổ phần VIAN
VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam
VIC,Tập đoàn Vingroup - Công ty Cổ phần
VIC11501,Trái phiếu Vingroup 062015
VIC11504,Trái phiếu VIC11201802
VID,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông
VIE,Công ty Cổ phần Công nghệ Viễn thông VITECO
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP
VIG,Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam
VIM,Công ty Cổ phần Khoáng sản Viglacera
VIN,CTCP Giao nhận Kho vận Ngoại thương Việt Nam
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO
VIR,Công ty cổ phần Du lịch Quốc tế Vũng Tàu
VIS,Công ty Cổ phần Thép Việt Ý
VIT,Công ty Cổ phần Viglacera Tiên Sơn
VIX,Công ty cổ phần Chứng khoán IB
VJC,Công ty cổ phần Hàng không VietJet
VKC,Công ty cổ phần Cáp Nhựa Vĩnh Khánh
VKD,Công ty Cổ phần Nước khoáng Khánh Hòa - FIT Beverage
VKP,Công ty Cổ phần Nhựa Tân Hóa
VLA,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang
VLB,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa
VLC,Tổng Công ty Chăn nuôi Việt Nam - CTCP
VLF,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long
VLG,CTCP Vinalines Logistics - Việt Nam
VMA,Công ty cổ phần Công nghiệp Ô tô – Vinacomin
VMC,Công ty Cổ phần Vimeco
VMD,Công ty cổ phần Y Dược phẩm Vimedimex
VMG,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu
VMI,Công ty Cổ phần Khoáng sản và Đầu tư VISACO
VMS,CTCP Phát triển Hàng hải
VNA,Công ty Cổ phần Vận tải Biển Vinaship
VNB,CTCP Sách Việt Nam
VNC,Công ty Cổ phần Tập đoàn Vinacontrol
VND,Công ty cổ phần Chứng khoán VNDIRECT
VNE,Tổng công ty Cổ phần Xây dựng điện Việt Nam
VNF,Công ty cổ phần Vinafreight
VNG,Công ty Cổ phần Du lịch Thành Thành Công
VNH,Công ty Cổ phần Thủy hải sản Việt Nhật
VNI,Công ty cổ phần Đầu tư Bất động sản Việt Nam
VNL,Công ty cổ phần Logistics Vinalink
VNN,Công ty cổ phần Đầu tư và Thương mại VNN
VNP,Công ty cổ phần Nhựa Việt Nam
VNR,Tổng Công ty Cổ phần Tái bảo hiểm quốc gia Việt Nam
VNS,Công ty Cổ phần Ánh Dương Việt Nam
VNT,Công ty cổ phần Giao nhận Vận tải Ngoại thương
VNX,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại
VNY,Công ty Cổ phần Thuốc Thú y Trung ương I
VOC,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - CTCP
VOS,Công ty Cổ phần Vận tải biển Việt Nam
VPA,CTCP Vận tải Hóa dầu VP
VPC,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam
VPD,CTCP Phát triển Điện lực Việt Nam
VPH,Công ty Cổ phần Vạn Phát Hưng
VPK,Công ty Cổ phần Bao bì dầu thực vật
VPL,Công ty TNHH Một thành viên Vinpearl
VPR,CTCP In và Thương mại Vina
VPS,CTCP Thuốc sát trùng Việt Nam
VQC,Công ty Cổ phần Giám định Vinacomin
VRC,Công ty Cổ phần Xây lắp và Địa ốc Vũng Tàu
VRG,CTCP Phát triển đô thị và Khu công nghiệp Cao su Việt Nam
VSA,Công ty cổ phần Đại lý Hàng hải Việt Nam
VSC,Công ty cổ phần Tập đoàn Container Việt Nam
VSG,Công ty Cổ phần Container Phía Nam
VSI,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước
VSN,CTCP Việt Nam Kỹ nghệ Súc sản
VSP,Công ty cổ phần Vận tải biển và Bất động sản Việt Hải
VST,Công ty Cổ phần Vận tải và Thuê tàu biển Việt Nam
VT1,Công ty Cổ phần Vật tư Bến Thành
VT8,Công ty Cổ phần Dịch vụ Vận tải ô tô số 8
VTA,Công ty Cổ phần Vitaly
VTB,Công ty Cổ phần Viettronics Tân Bình
VTF,Công ty Cổ phần Thức ăn Chăn nuôi Việt Thắng
VTG,Công ty cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu
VTH,Công ty Cổ phần Dây cáp điện Việt Thái
VTI,Công ty Cổ phần Sản xuất – Xuất nhập khẩu Dệt May
VTJ,Công ty cổ phần Thương mại và Đầu tư Vinataba
VTL,Công ty Cổ phần Vang Thăng Long
VTM,CTCP Vận tải và Đưa đón thợ mỏ - Vinacomin
VTO,Công ty Cổ phần Vận tải Xăng dầu VITACO
VTS,Công ty Cổ phần Viglacera Từ Sơn
VTV,Công ty Cổ phần VICEM Vật tư Vận tải Xi măng
VTX,Công ty cổ phần Vận tải đa phương thức Vietranstimex
VWS,Công ty Cổ phần Nước và Môi trường Việt Nam
VXB,Công ty Cổ phần Vật liệu xây dựng Bến Tre
WCS,Công ty Cổ phần Bến xe Miền Tây
WSB,Công ty Cổ phần Bia Sài Gòn - Miền Tây
WSS,Công ty Cổ phần Chứng khoán Phố Wall
WTC,CTCP Vận tải thủy - Vinacomin
X18,Công ty Cổ phần Xi măng X18
X77,Công ty Cổ phần Thành An 77
XHC,Công ty cổ phần Xuân Hòa Việt Nam
XMC,Công ty cổ phần Đầu Tư và Xây Dựng Xuân Mai
XMD,Công ty cổ phần Xuân Mai - Đạo Tú
XPH,Công ty Cổ phần Xà phòng Hà Nội
YBC,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái
YRC,CTCP Đường sắt Yên Lào
YSC,Công ty Cổ phần Hapaco Yên Sơn
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng
TCB,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong
