0,1
BTB,Công ty Cổ phần Bia Hà Nội - Thái Bình
BTD,Công ty Cổ phần Bê tông Ly tâm Thủ Đức
BTG,Công ty Cổ phần Bao bì Tiền Giang
BTH,Công ty Cổ phần Chế tạo Biến thế và Vật liệu điện Hà Nội
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa
BTR,CTCP Đường sắt Bình Trị Thiên
BTS,Công ty cổ phần Xi măng Vicem Bút Sơn
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành
BTU,CTCP Công trình Đô thị Bến Tre
BTV,Công ty Cổ phần Dịch vụ Du lịch Bến Thành
BTW,Công ty Cổ phần Cấp nước Bến Thành
BVG,Công ty Cổ phần Đầu tư BVG
BVH,Tập đoàn Bảo Việt
BVN,Công ty cổ phần Bông Việt Nam
BWA,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc
BXD,Công ty Cổ phần Vận tải và Quản lý Bến xe Đà Nẵng
BXH,Công ty cổ phần VICEM Bao bì Hải Phòng
C12,Công ty Cổ phần Cầu 12 - Cienco 1
C21,Công ty cổ phần Thế kỷ 21
C32,Công ty Cổ phần Đầu tư Xây dựng 3-2
C47,Công ty Cổ phần Xây dựng 47
C71,Công ty Cổ phần 471
C92,Công ty Cổ phần Xây dựng và Đầu tư 492
CAD,Công ty Cổ phần Chế biến và Xuất nhập khẩu Thủy sản CADOVIMEX
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái
CAV,Công ty cổ phần Dây Cáp Điện Việt Nam
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp - Thương mại Củ Chi
CCL,Công ty cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
CCM,Công ty Cổ phần Khoáng sản & Xi măng Cần Thơ
CCR,Công ty cổ phần Cảng Cam Ranh
CCV,Công ty cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam
CDC,Công ty Cổ phần Chương Dương
CDG,Công ty Cổ phần Cầu Đuống
CDH,CTCP Công trình công cộng Dịch vụ Du lịch Hải Phòng
CDN,Công ty cổ phần Cảng Đà Nẵng
CDO,Công ty Cổ phần Tư vấn thiết kế và Phát triển đô thị
CEC,Công ty Cổ phần Thiết kế Công nghiệp Hóa chất
CEO,Công ty Cổ phần Tập đoàn C.E.O
CFC,Công ty Cổ phần Cafico Việt Nam
CGP,Công ty cổ phần Dược phẩm Cần Giờ
CHC,Công ty Cổ phần Cẩm Hà
CHP,Công ty Cổ phần Thủy điện miền Trung
CHS,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh
CI5,Công ty cổ phần Đầu tư Xây dựng số 5
CIC,Công ty Cổ phần Đầu tư và Xây dựng COTEC
CIG,Công ty Cổ phần COMA18
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh
CII41401,Trái phiếu chuyển đổi Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
CJC,Công ty Cổ phần Cơ điện Miền Trung
CK8,Công ty Cổ phần Cơ khí 120
